State,Outbreak Count
Kerala,149
Karnataka,142
Maharashtra,103
Tamil Nadu,80
Madhya Pradesh,72
Uttar Pradesh,71
Odisha,70
Jharkhand,60
Gujarat,48
Chhattisgarh,39
West Bengal,30
Assam,30
Telangana,30
Jammu and Kashmir,25
Uttarakhand,23
Punjab,21
Rajasthan,17
Haryana,17
Bihar,13
Mizoram,12
Andhra Pradesh,11
Meghalaya,7
Arunachal Pradesh,7
Nagaland,5
Puducherry,4
Himachal Pradesh,4
Jammu & Kashmir,1
Dadra And Nagar Haveli And Daman And Diu,1
Sikkim,1
Dadra And Nagar Haveli,1
Andaman and Nicobar Islands,1
Delhi,1
Tripura,1
